,,files,total changes,add,del,,
drm/nv50-/disp: audit and version DAC_LOAD method,"drm/nv50-/disp: audit and version DAC_LOAD method

The full object interfaces are about to be exposed to userspace, so we
need to check for any security-related issues and version the structs
to make it easier to handle any changes we may need in the future.

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",10,99,48,51,,c4abd3178e117d3ca15a40d76df2dbb135f33d78
drm/nv50-/disp: audit and version DAC_PWR method,"drm/nv50-/disp: audit and version DAC_PWR method

The full object interfaces are about to be exposed to userspace, so we
need to check for any security-related issues and version the structs
to make it easier to handle any changes we may need in the future.

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",13,212,171,41,,bf0eb89859439f016a1fab4cdf737c95f36dbb2e
drm/nv50-/disp: share channel creation between nv50/gf110 impls,"drm/nv50-/disp: share channel creation between nv50/gf110 impls

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",10,506,204,302,,2c04ae01df38f95dd3e553c85cdac670a80110f5
drm/nv50/kms: don't assume same class versions for all channels,"drm/nv50/kms: don't assume same class versions for all channels

One of the next commits will remove some of the class IDs, leaving only
the ones used by NVIDIA which, presumably, mark where functionality
changes actually happened.

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",1,214,166,48,,410f3ec63570bea8efe00826a2b83ceb353553b1
drm/nouveau/fifo: implement nvif event source,"drm/nouveau/fifo: implement nvif event source

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",13,139,89,50,,867920f8c920bcaa5a6fa5ebad4596669b82ba80
drm/nouveau/fifo: allow direct access to channel control registers where possible,"drm/nouveau/fifo: allow direct access to channel control registers where possible

The indirect method has been left in-place here as a fallback path, as
it may not be possible to map the non-PAGE_SIZE aligned control areas
across some chipset+interface combinations.

This isn't a problem for the primary use-case where the core and drm
are linked together in kernel-land, but across a VM or (in the case
where it applies now) between the core in the kernel and a userspace
test tool.

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",11,47,38,9,,6c6ae061b61c1fd0d1823765299bcc009ddc21c8
drm/nouveau/fifo: audit and version fifo channel classes,"drm/nouveau/fifo: audit and version fifo channel classes

The full object interfaces are about to be exposed to userspace, so we
need to check for any security-related issues and version the structs
to make it easier to handle any changes we may need in the future.

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",19,522,323,199,,bbf8906b2cad17cf9530b06db7509d0e39b02d16
drm/nouveau/device: audit and version NVIF_CONTROL class and methods,"drm/nouveau/device: audit and version NVIF_CONTROL class and methods

The full object interfaces are about to be exposed to userspace, so we
need to check for any security-related issues and version the structs
to make it easier to handle any changes we may need in the future.

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",7,286,174,112,,a532da976f17234375d3b34633ff5d48f71f62bc
drm/nouveau/pm: audit and version NVIF_PERFMON class and methods,"drm/nouveau/pm: audit and version NVIF_PERFMON class and methods

The full object interfaces are about to be exposed to userspace, so we
need to check for any security-related issues and version the structs
to make it easier to handle any changes we may need in the future.

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",4,194,116,78,,96af8222cef78ab4d92186d5e10880dc78395415
drm/nouveau/dma: audit and version NV_DMA classes,"drm/nouveau/dma: audit and version NV_DMA classes

The full object interfaces are about to be exposed to userspace, so we
need to check for any security-related issues and version the structs
to make it easier to handle any changes we may need in the future.

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",15,534,318,216,,4acfd707e28c820ba8ed8c12b497413a133d8c8f
drm/nouveau/dmaobj: switch to a slightly saner design,"drm/nouveau/dmaobj: switch to a slightly saner design

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",8,538,357,181,,b2c817031bc99d6e809fa10dcd8bf709b61d088d
drm/nouveau/dmaobj: update to an improved style of class definition,"drm/nouveau/dmaobj: update to an improved style of class definition

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",16,366,157,209,,bc98540b7b506689a9bd7bedffb9f60f9c62d945
drm/nouveau/device: audit and version NV_DEVICE class,"drm/nouveau/device: audit and version NV_DEVICE class

The full object interfaces are about to be exposed to userspace, so we
need to check for any security-related issues and version the structs
to make it easier to handle any changes we may need in the future.

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",7,240,135,105,,586491e6fc27f1783081955fd26d70789ddb3a07
drm/nouveau: use ioctl interface for abi16 gpuobj free,"drm/nouveau: use ioctl interface for abi16 gpuobj free

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",1,18,15,3,,aedf43d5fc0e6b0f5902e00603881869ef733d05
drm/nouveau: use ioctl interface for abi16 ntfy alloc,"drm/nouveau: use ioctl interface for abi16 ntfy alloc

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",1,49,31,18,,3bdda04f64e6cf9f266634e7cf959b7978957f40
drm/nouveau: use ioctl interface for abi16 grobj alloc,"drm/nouveau: use ioctl interface for abi16 grobj alloc

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",3,88,54,34,,a4e610b5e655186f81f18f027d2b7a15e010cbef
drm/nouveau: remove as much direct use of core headers as possible,"drm/nouveau: remove as much direct use of core headers as possible

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",23,81,22,59,,fdb751ef2bbc78314d1e01d3425cfacfb19b9f86
drm/nouveau: remove (most) hardcoded object handle usage,"drm/nouveau: remove (most) hardcoded object handle usage

The PFIFO<->EVO sync buffers will be fixed up later when inter-channel
sync in general is improved.

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",9,103,45,58,,f45f55c4bbf8a9f9c607e5f6013abac60427e3f7
drm/nouveau: port to nvif client/device/objects,"drm/nouveau: port to nvif client/device/objects

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",40,1001,522,479,,0ad72863ea426d46b2786cba9430e122a40aad0b
drm/nouveau: initial pass at moving to struct nvif_device,"drm/nouveau: initial pass at moving to struct nvif_device

This is an attempt at isolating some of the changes necessary to port
to NVIF in a separate commit.

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",41,847,459,388,,967e7bde8739fe3b215f7537e8f1f39c044902af
drm/nouveau: kill nouveau_dev() + wrap register macros,"drm/nouveau: kill nouveau_dev() + wrap register macros

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",17,447,228,219,,db2bec187dd68e79d512112df1f6e7a849e7f0ce
drm/nouveau: fix some usages of the wrong print function,"drm/nouveau: fix some usages of the wrong print function

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",8,104,54,50,,fa2bade99a6fb24c3847d48ba3cad9a70dbb5364
drm/nouveau/nvif: import library functions for the ioctl/event interfaces,"drm/nouveau/nvif: import library functions for the ioctl/event interfaces

This is a wrapper around the interfaces defined in an earlier commit,
and is also used by various userspace (either by a libdrm backend, or
libpciaccess) tools/tests.

In the future this will be extended to handle channels, replacing some
long-unloved code we currently use, and allow fifo/display/mpeg (hi
Ilia ;)) engines to all be exposed in the same way.

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",14,1352,1350,2,,a04d04231b490a2dca427a0f04603ed47fdb9cee
drm/nouveau/client: add method to retrieve device list,"drm/nouveau/client: add method to retrieve device list

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",4,72,72,0,,803c1787efd379110963db360fbe06ed0b41197e
drm/nouveau/core: remove NV_D0 family,"drm/nouveau/core: remove NV_D0 family

The one place where it mattered has been replaced with a class check,
which is more appropriate anyway.

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",6,71,37,34,,9c210f378f7cee5f1a5eabe5a78c5ec98251cb5b
drm/nouveau/device: add method to retrieve some basic device info,"drm/nouveau/device: add method to retrieve some basic device info

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",4,208,171,37,,d01c3092f065810b9f6cd8cc9918713f48884f46
drm/nouveau/core: import ioctl/event interfaces,"drm/nouveau/core: import ioctl/event interfaces

This forms the basis for the new APIs that will be exposed to userspace,
giving it access to:

- Object method calls, the immediately useful of which is performance
  counters and the abiity to manipulate the ZBC tables.
- Information on the child classes an object supports, in order to avoid
  having to try all supported classes until successful.
- Notifications, which will be used in the future to inform the client
  if its channel was killed due to a lockup, etc.

This commit imports the interfaces, but are not currently used.  The DRM
portion of the driver will be ported to speak to the core using these
interfaces as much as possible.

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",13,835,831,4,,8ec2a6ec6e229d67b19737f9b603eef478fa955d
drm/nouveau/core: add function to return list of supported children,"drm/nouveau/core: add function to return list of supported children

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",2,34,34,0,,29dff2f554b64a37750a9ba1506da725cd4cf713
drm/nouveau/core: rework event interface,"drm/nouveau/core: rework event interface

This is a lot of prep-work for being able to send event notifications
back to userspace.  Events now contain data, rather than a ""something
just happened"" signal.

Handler data is now embedded into a containing structure, rather than
being kmalloc()'d, and can optionally have the notify routine handled
in a workqueue.

Various races between suspend/unload with display HPD/DP IRQ handlers
automagically solved as a result.

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",52,1392,875,517,,79ca27706a034b683196c85f5c6901b78e5ab8f0
drm/nouveau/core: move handle-based object apis to handle.c,"drm/nouveau/core: move handle-based object apis to handle.c

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",4,255,135,120,,4d681b666d4c1452139a06504df2ec101a4efc7e
"drm/nouveau/core: fail creation of zero-argument objects, when arguments are passed","drm/nouveau/core: fail creation of zero-argument objects, when arguments are passed

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",1,36,6,30,,f5ee92f085376859d5c31743262350f8e344689a
drm/nouveau: store a pointer to vm in nouveau_cli,"drm/nouveau: store a pointer to vm in nouveau_cli

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",5,43,24,19,,3ee6f5b5036be4fd4e64be4233f29ee1c552c005
drm/nouveau: store vblank event handler data in nv_crtc,"drm/nouveau: store vblank event handler data in nv_crtc

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",3,58,29,29,,b12f0ae9e8dfee55c7757f9c4be3b1154c366754
drm/nv50/kms: create ctxdma objects for framebuffers as required,"drm/nv50/kms: create ctxdma objects for framebuffers as required

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",4,289,126,163,,8a42364701d6860e51d53bbcbe3c84fe93816861
drm/nv50/kms: move framebuffer wrangling out of common code,"drm/nv50/kms: move framebuffer wrangling out of common code

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",3,128,81,47,,ab0af559d34b6817768c1720859aef7d7009ee57
drm/nouveau: Bump version from 1.1.1 to 1.1.2,"drm/nouveau: Bump version from 1.1.1 to 1.1.2

Linux 3.16 fixed multiple bugs in kms pageflip completion events
and timestamping, which were originally introduced in Linux 3.13.

These fixes have been backported to all stable kernels since 3.13.

However, the userspace nouveau-ddx needs to be aware if it is
running on a kernel on which these bugs are fixed, or not.

Bump the patchlevel of the drm driver version to signal this,
so backporting this patch to stable 3.13+ kernels will give the
ddx the required info.

Signed-off-by: Mario Kleiner <mario.kleiner.de@gmail.com>
Cc: <stable@vger.kernel.org> #v3.13+
Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",1,4,3,1,,7820e5eef0faa4a5e10834296680827f7ce78a89
drm/nv50-/sw: use nv50_software_context_dtor....,"drm/nv50-/sw: use nv50_software_context_dtor....

You would not believe the troubles this caused me...

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",2,4,2,2,,f4e9ce23757a0115a2187d59e5c13e522a3b2a99
drm/nv50-/fb: use dma_mapping_error() to check dma_map_page() result,"drm/nv50-/fb: use dma_mapping_error() to check dma_map_page() result

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",2,6,3,3,,838f6fe7e470b7cd322b7c3e5ac8c0e09e580194
drm/nouveau: Dis/Enable vblank irqs during suspend/resume.,"drm/nouveau: Dis/Enable vblank irqs during suspend/resume.

Vblank irqs don't get disabled during suspend or driver
unload, which causes irq delivery after ""suspend"" or
driver unload, at least until the gpu is powered off.
This could race with drm_vblank_cleanup() in the case
of nouveau and cause a use-after-free bug if the driver
is unloaded.

More annoyingly during everyday use, at least on nv50
display engine (likely also others), vblank irqs are
off after a resume from suspend, but the drm doesn't
know this, so all vblank related functionality is dead
after a resume. E.g., all windowed OpenGL clients will
hang at swapbuffers time, as well as many fullscreen
clients in many cases. This makes suspend/resume useless
if one wants to use any OpenGL apps after the resume.

In Linux 3.16, drm_vblank_on() was added, complementing
the older drm_vblank_off()  to solve these problems
elegantly, so use those calls in nouveaus suspend/resume
code.

For kernels 3.8 - 3.15, we need to cherry-pick the
drm_vblank_on() patch to support this patch.

Signed-off-by: Mario Kleiner <mario.kleiner.de@gmail.com>
Cc: <stable@vger.kernel.org> #v3.16
Cc: <stable@vger.kernel.org> #v3.8+: f275228: drm: Add drm_vblank_on()
Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",1,11,11,0,,9cba5efab5a8145ae6c52ea273553f069c294482
drm/nouveau: platform: update moved Tegra header,"drm/nouveau: platform: update moved Tegra header

Header for tegra_powergate functions has moved to soc/tegra/pmc.h.

Signed-off-by: Alexandre Courbot <acourbot@nvidia.com>
Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",1,2,1,1,,95713d4a16ad46ce9dd8ccef45cc67af0f161ae2
drm/nouveau/gk20a: reclocking support,"drm/nouveau/gk20a: reclocking support

Add support for reclocking on GK20A, using a statically-defined pstates
table. The algorithms for calculating the coefficients and setting the
clocks are directly taken from the ChromeOS kernel.

Signed-off-by: Alexandre Courbot <acourbot@nvidia.com>
Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",5,669,669,0,,b13a0a9e2922cbfbf7b400f4f0fd0acd19f941df
drm/nouveau/clk: support for non-BIOS pstates,"drm/nouveau/clk: support for non-BIOS pstates

Make nouveau_clock_create() take new two optional arguments: an array
of pstates and its size. When these are specified,
nouveau_clock_create() will use the provided pstates instead of
probing them using the BIOS.

This is useful for platforms which do not provide a BIOS, like Tegra.

Signed-off-by: Alexandre Courbot <acourbot@nvidia.com>
Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",9,50,30,20,,bb4d29df5e929a356e2cff2a6d7f38442d322d5b
drm/nouveau/clk: make therm and volt devices optional,"drm/nouveau/clk: make therm and volt devices optional

Allow the clock subsystem to operate even if voltage and thermal devices
are not set for the device (for people with watercooling! ;))

Signed-off-by: Alexandre Courbot <acourbot@nvidia.com>
Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",1,36,22,14,,2cfd22f4730d5e759a313729b92a72bcc12c41cb
drm/nouveau/perfmon: do not forget to destroy the engine context,"drm/nouveau/perfmon: do not forget to destroy the engine context

This fixes a crash when we reload Nouveau DRM.

Signed-off-by: Samuel Pitoiset <samuel.pitoiset@gmail.com>
Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",1,1,1,0,,cbb4cf8bdffd943fa7cff724232b57b0e6891095
drm/nouveau: map pages using DMA API,"drm/nouveau: map pages using DMA API

The DMA API is the recommended way to map pages no matter what the
underlying bus is. Use the DMA functions for page mapping and remove
currently existing wrappers.

Signed-off-by: Alexandre Courbot <acourbot@nvidia.com>
Acked-by: Daniel Vetter <daniel.vetter@ffwll.ch>
Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",5,67,26,41,,fd1496a0fc77f955317d6ca511f66a9e788e7e02
drm/nouveau/pwr/macros: Stop playing Russian roulette on data memory,"drm/nouveau/pwr/macros: Stop playing Russian roulette on data memory

Signed-off-by: Roy Spliet <rspliet@eclipso.eu>
Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",5,1326,663,663,,3967633d2bb16cdb77e81f1b71020b7264cf0553
drm/nve4/graph: do not crash if no power device present,"drm/nve4/graph: do not crash if no power device present

Detect and workaround the absence of a power device so chips that do not
feature one (e.g. GK20A) can still use this driver.

Signed-off-by: Alexandre Courbot <acourbot@nvidia.com>
Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",1,3,2,1,,25856c0b04fd9ea616acaf3318d0db1cd70bb00a
drm/gk20a: add BAR instance,"drm/gk20a: add BAR instance

GK20A's BAR is functionally identical to NVC0's, but do not support
being ioremapped write-combined. Create a BAR instance for GK20A that
reflect that state.

Signed-off-by: Alexandre Courbot <acourbot@nvidia.com>
",6,70,66,4,,ec1afbf4e1025f74e636ada2e7da3963c8da4c06
drm/nouveau/bar: add noncached ioremap property,"drm/nouveau/bar: add noncached ioremap property

Some BARs (like GK20A's) do not support being ioremapped write-combined.
Add a boolean property to the BAR structure and handle that case in the
Nouveau BO implementation.

Signed-off-by: Alexandre Courbot <acourbot@nvidia.com>
",2,20,15,5,,e2a4e78cdccc4bb2d3729981313da237ad4ad43f
drm/nouveau: support for probing platform devices,"drm/nouveau: support for probing platform devices

Add a platform driver for Nouveau devices declared using the device tree
or platform data. This driver currently supports GK20A on Tegra
platforms and is only compiled for these platforms if Nouveau is
enabled.

Nouveau will probe the chip type itself using the BOOT0 register, so all
this driver really needs to do is to make sure the module is powered and
its clocks active before calling nouveau_drm_platform_probe().

Heavily based on work done by Thierry Reding.

Signed-off-by: Thierry Reding <treding@nvidia.com>
Signed-off-by: Alexandre Courbot <acourbot@nvidia.com>
Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",6,307,291,16,,8ba9ff11632cb05d6f55555711d8425e32ee44b0
drm/nouveau/kms: restore acceleration before fb_set_suspend() resumes,"drm/nouveau/kms: restore acceleration before fb_set_suspend() resumes

This *should* be safe these days.

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",1,6,3,3,,04384435fbcd2c5cb70b2e58c8b643822d7e337f
drm/nouveau/kms: take more care when pulling down accelerated fbcon,"drm/nouveau/kms: take more care when pulling down accelerated fbcon

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",3,100,61,39,,4b5098f3597195e9faf17e5a0cfca905d9a04d9f
drm/nouveau: expose pstate selection per-power source in sysfs,"drm/nouveau: expose pstate selection per-power source in sysfs

echo ac:id >> pstate # select mode when on mains power
echo dc:id >> pstate # select mode when on battery
echo id >> pstate # select mode for both

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",3,70,52,18,,7238eca4cf18a5bba8679afc8c71a274e264f82e
drm/nouveau/clk: allow selection of different power state for ac vs battery,"drm/nouveau/clk: allow selection of different power state for ac vs battery

v2:
- s/init/fini/ typo, reported by Alex

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",4,126,96,30,,7e1ee6333c32a4b83aad430a4bcb8a7057f36194
drm/nouveau/clk: schedule pstate changes through a workqueue,"drm/nouveau/clk: schedule pstate changes through a workqueue

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",2,50,39,11,,d5d7a0fa742383406c84e5292d00eccdbf74d91a
drm/nouveau/device: register for acpi events,"drm/nouveau/device: register for acpi events

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",5,96,94,2,,ed76a87057597492708694e9440b63bca40c6fa1
drm/gk208-/gr: stop touching 0x260 inappropriately,"drm/gk208-/gr: stop touching 0x260 inappropriately

As a side note.. It's a bit hard to figure out how to name this commit..
GK20A is NVEA, which is before NV108 (GK208).. Confusing.

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",15,158,113,45,,7d155dacc1699a3ceae26b69808a1d3199394469
drm/gk110b/gr: initvals differ from gk110,"drm/gk110b/gr: initvals differ from gk110

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",9,258,244,14,,579b7f3f66a2588f788911e15ef3f9c1d88e1048
drm/gk104/gr: disable PGOB at init time,"drm/gk104/gr: disable PGOB at init time

This removes the previous hack that worked on some boards.

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",2,32,7,25,,36b990260d501ffec0a38d3211497ee567ee2430
drm/gk104/pwr: implement PGOB disable method,"drm/gk104/pwr: implement PGOB disable method

As documented at:

ftp://download.nvidia.com/open-gpu-doc/gk104-disable-graphics-power-gating/1/gk104-disable-graphics-power-gating.txt

NVIDIA were not able document the steps necessary to detect whether this
is required or not at this time.  However, they did confirm that this
procedure is safe to perform unconditionally on GK104/6.  GK107 does not
have the power gating feature, and it was recommended that we do not
perform these steps there as the effects were not verified.

The disable path is from observing the binary driver, and not
documented in the link above.

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",6,89,86,3,,61854bdb135d1b958a5057739206d663528870db
drm/nouveau/pwr: tidy,"drm/nouveau/pwr: tidy

Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",12,326,133,193,,adec9bc3bd5f2618cea5ab8dccc506b86ab4aabb
Documentation: SubmittingPatches: overhaul changelog description,"Documentation: SubmittingPatches: overhaul changelog description

Maintainers often repeat the same feedback on poorly written
changelogs - describe the problem, justify your changes, quantify
optimizations, describe user-visible changes - but our documentation
on writing changelogs doesn't include these things.  Fix that.

Signed-off-by: Johannes Weiner <hannes@cmpxchg.org>
Acked-by: David S. Miller <davem@davemloft.net>
Acked-by: Greg Kroah-Hartman <gregkh@linuxfoundation.org>
Acked-by: Ingo Molnar <mingo@kernel.org>
Signed-off-by: Randy Dunlap <rdunlap@infradead.org>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>
",1,38,31,7,,7b9828d44194b2d90595ed4bd5131cacbf29b201
Documentation: freefall: simplify pathnames,"Documentation: freefall: simplify pathnames

Copying to local variable is actually not neccessary, if all we need
to do is snprintf(). This also removes problem where devname could be
missing zero termination.

Reported-by: Rickard Strandqvist <rickard_strandqvist@spectrumdigital.se>
Signed-off-by: Pavel Machek <pavel@ucw.cz>
Signed-off-by: Randy Dunlap <rdunlap@infradead.org>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>
",1,6,1,5,,d74aae4ea0257f3d6e94ef7a0420ef5074d6eb1e
Documentation: add How to avoid botching up ioctls,"Documentation: add How to avoid botching up ioctls

I pointed some folks at this and they wondered why it wasn't in the
kernel Documentation directory. So now it is.

Signed-off-by: Daniel Vetter <daniel.vetter@ffwll.ch>
Signed-off-by: Michael Ellerman <mpe@ellerman.id.au>
Signed-off-by: Randy Dunlap <rdunlap@infradead.org>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>
",2,221,221,0,,efe4a772215869e780e69d0037dca50e34aee6a7
ARM: dts: exynos5420: remove disp_pd,"ARM: dts: exynos5420: remove disp_pd

This was caused by commit 5a8da524049c (""ARM: dts: exynos5420: add dsi
node""), which conflicted with d51cad7df871 (""ARM: dts: remove display
power domain for exynos5420"").

The DTS addition should never have been merged through the DRM tree in
the first place, and it lacked an ack from the platform maintainer
(who would have known that the disp_pd reference got removed).

Signed-off-by: Stephen Rothwell <sfr@canb.auug.org.au>
Signed-off-by: Olof Johansson <olof@lixom.net>
",1,1,0,1,,ee34fb97a96ceac3334705ebab8b541ca291699f
ARM: EXYNOS: Fix suspend/resume sequences,"ARM: EXYNOS: Fix suspend/resume sequences

Due to recent consolidation of Exynos suspend and cpuidle code, some
parts of suspend and resume sequences are executed two times, once from
exynos_pm_syscore_ops and then from exynos_cpu_pm_notifier() and thus it
breaks suspend, at least on Exynos4-based boards. In addition, simple
core power down from a cpuidle driver could, in case of CPU 0 could
result in calling functions that are specific to suspend and deeper idle
states.

This patch fixes the issue by moving those operations outside the CPU PM
notifier into suspend and AFTR code paths. This leads to a bit of code
duplication, but allows additional code simplification, so in the end
more code is removed than added.

Fixes: 85f9f90808b4 (""ARM: EXYNOS: Use the cpu_pm notifier for pm"")
Cc: Kukjin Kim <kgene.kim@samsung.com>
Cc: Arnd Bergmann <arnd@arndb.de>
Cc: Olof Johansson <olof@lixom.net>
Cc: arm@kernel.org
Signed-off-by: Tomasz Figa <t.figa@samsung.com>
[b.zolnierkie: ported patch over current changes]
[b.zolnierkie: fixed exynos_aftr_finisher() return value]
Signed-off-by: Bartlomiej Zolnierkiewicz <b.zolnierkie@samsung.com>
Signed-off-by: Olof Johansson <olof@lixom.net>
",2,188,80,108,,01601b349582caa617618b5fa7d9b08bd328626a
ARM: dts: Fix the sort ordering of EHCI and HSIC in rk3288.dtsi,"ARM: dts: Fix the sort ordering of EHCI and HSIC in rk3288.dtsi

The EHCI and HSIC device tree nodes were added in the wrong place.
Fix them.

Signed-off-by: Doug Anderson <dianders@chromium.org>
Signed-off-by: Kever Yang <kever.yang@rock-chips.com>
Signed-off-by: Heiko Stuebner <heiko@sntech.de>
Signed-off-by: Olof Johansson <olof@lixom.net>
",1,40,20,20,,c9c32c5049b8a36919968dbfdf08bbeda0c5e381
drm/ttm: expose CPU address of DMA-allocated pages,"drm/ttm: expose CPU address of DMA-allocated pages

Pages allocated using the DMA API have a coherent memory mapping. Make
this mapping visible to drivers so they can decide to use it instead of
creating their own redundant one.

Signed-off-by: Alexandre Courbot <acourbot@nvidia.com>
Acked-by: David Airlie <airlied@linux.ie>
Signed-off-by: Ben Skeggs <bskeggs@redhat.com>
",3,17,12,5,,3d50d4dcb0c4e0e01f45ae15df34ab6a04fb35bb
ARM: wire up memfd_create syscall,"ARM: wire up memfd_create syscall

Add the memfd_create syscall to ARM.

Signed-off-by: Russell King <rmk+kernel@arm.linux.org.uk>
",2,2,2,0,,e57e41931134e09fc6c03c8d4eb19d516cc6e59b
ARM: wire up getrandom syscall,"ARM: wire up getrandom syscall

Add the new getrandom syscall for ARM.

Signed-off-by: Russell King <rmk+kernel@arm.linux.org.uk>
",3,4,3,1,,eb6452537b280652eee66801ec97cc369e27e5d8
ARM: 8114/1: LPAE: load upper bits of early TTBR0/TTBR1,"ARM: 8114/1: LPAE: load upper bits of early TTBR0/TTBR1

This patch fixes booting when idmap pgd lays above 4gb. Commit
4756dcbfd37 mostly had fixed this, but it'd failed to load upper bits.

Also this fixes adding TTBR1_OFFSET to TTRR1: if lower part overflows
carry flag must be added to the upper part.

Signed-off-by: Konstantin Khlebnikov <k.khlebnikov@samsung.com>
Signed-off-by: Russell King <rmk+kernel@arm.linux.org.uk>
",1,7,3,4,,7fb00c2fca4b6c58be521eb3676cf4b4ba8dde3b
libceph: set last_piece in ceph_msg_data_pages_cursor_init() correctly,"libceph: set last_piece in ceph_msg_data_pages_cursor_init() correctly

Determining ->last_piece based on the value of ->page_offset + length
is incorrect because length here is the length of the entire message.
->last_piece set to false even if page array data item length is <=
PAGE_SIZE, which results in invalid length passed to
ceph_tcp_{send,recv}page() and causes various asserts to fire.

    # cat pages-cursor-init.sh
    #!/bin/bash
    rbd create --size 10 --image-format 2 foo
    FOO_DEV=$(rbd map foo)
    dd if=/dev/urandom of=$FOO_DEV bs=1M &>/dev/null
    rbd snap create foo@snap
    rbd snap protect foo@snap
    rbd clone foo@snap bar
    # rbd_resize calls librbd rbd_resize(), size is in bytes
    ./rbd_resize bar $(((4 << 20) + 512))
    rbd resize --size 10 bar
    BAR_DEV=$(rbd map bar)
    # trigger a 512-byte copyup -- 512-byte page array data item
    dd if=/dev/urandom of=$BAR_DEV bs=1M count=1 seek=5

The problem exists only in ceph_msg_data_pages_cursor_init(),
ceph_msg_data_pages_advance() does the right thing.  The size_t cast is
unnecessary.

Cc: stable@vger.kernel.org # 3.10+
Signed-off-by: Ilya Dryomov <ilya.dryomov@inktank.com>
Reviewed-by: Sage Weil <sage@redhat.com>
Reviewed-by: Alex Elder <elder@linaro.org>
",1,2,1,1,,5f740d7e1531099b888410e6bab13f68da9b1a4d
